,game,reviewer_rating,positivity_ratio,first_release_date,game_modes,genres,themes,binned_developer,developer_RewindApp,developer_Ripknot Systems,developer_CAPCOM Co. Ltd.,developer_Kairosoft Co.Ltd,developer_Winged Cloud,developer_KOEI TECMO GAMES CO. LTD.,developer_Choice of Games,developer_EGAMER,developer_Scott Cawthon,developer_Tero Lunkka,binned_developer_encoded
101,ChromaGun,8.0,5.38,2016,1,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
102,Evergarden,8.0,6.2,2018,1,9,17,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
103,Cave Quest,8.0,15.8,2020,1,2,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
104,Escape First 3,5.0,1.69,2020,1,9,43,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
105,Carestia,7.0,7.5,2021,1,8,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
106,Between Time: Escape Room,8.0,7.44,2021,1,9,18,mc2games,0,0,0,0,0,0,0,0,0,0,435
107,Vectronom,8.0,30.75,2019,1,7,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
108,Ripple,5.0,1.83,2020,1,31,19,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
109,Cube Raiders,5.0,1.6,2020,1,8,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
110,3D Hardcore Cube,5.0,1.27,2017,1,32,1,Laush Dmitriy Sergeevich,0,0,0,0,0,0,0,0,0,0,207
111,Star Seeker in: the Secret of the Sorcerous Standoff,7.0,43.0,2020,1,2,17,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
112,Xecryst Remains,6.0,3.45,2019,1,12,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
113,Kyklos Code,7.0,18.0,2017,1,32,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
114,Time Lock VR 2,8.0,8.3,2022,1,5,1,Whale Rock Games,0,0,0,0,0,0,0,0,0,0,408
115,Doors,5.0,1.69,2020,1,2,17,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
116,SMIB: Mission Cure,7.0,6.33,2020,1,9,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
117,Mars Power Industries Deluxe,8.0,18.0,2019,1,9,18,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
118,Oneiros,8.0,5.34,2020,1,9,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
119,NecroWorm,5.0,0.89,2017,1,9,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
120,Neon Hardcore,5.0,1.78,2017,1,8,1,Laush Dmitriy Sergeevich,0,0,0,0,0,0,0,0,0,0,207
121,Ragnarok Chess,5.0,1.31,2021,1,9,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
122,I'm on Observation Duty 4,9.0,51.64,2021,1,9,19,Notovia,0,0,0,0,0,0,0,0,0,0,266
123,Malmyr,7.0,4.0,2020,1,9,17,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
124,Temple Of Snek,8.0,17.0,2021,1,9,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
125,I'm on Observation Duty 5,9.0,28.94,2022,1,9,19,Notovia,0,0,0,0,0,0,0,0,0,0,266
126,Woute,7.0,3.0,2021,1,8,35,Laush Dmitriy Sergeevich,0,0,0,0,0,0,0,0,0,0,207
127,Robobo TM,7.0,10.0,2021,1,5,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
128,Comet 64,6.0,3.14,2021,1,9,34,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
129,The Quivering,5.0,1.38,1999,1,2,18,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
130,Internet Court,6.0,2.44,2021,1,13,27,Oh a Rock! Studios,0,0,0,0,0,0,0,0,0,0,274
131,Bitcoin Collector: Spinners Attack,5.0,0.74,2017,1,32,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
132,Revhead,8.0,5.43,2017,1,10,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
133,Be a Pirate,5.0,1.33,2020,1,8,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
134,Family Mysteries 3: Criminal Mindset,6.0,3.55,2020,1,2,18,Brave Giant LTD,0,0,0,0,0,0,0,0,0,0,53
135,Click Space Miner,5.0,0.69,2016,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
136,En Route: Space,6.0,2.43,2022,2,9,18,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
137,Trivia Vault: 1980's Trivia 2,5.0,0.81,2017,1,13,1,Ripknot Systems,0,1,0,0,0,0,0,0,0,0,312
138,Code Romantic,7.0,17.0,0,1,7,34,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
